BMW i5,eDrive40 Sedan,1 640 000 Kč,2/2024,1km,
BMW i5,M60 xDrive Sedan,1 610 000 Kč,8/2023,25000km,
BMW i5,eDrive40 Sedan,1 777 000 Kč,2024,25000km,
BMW i5,xDrive40 Sedan,1 700 000 Kč,6/2024,1km,"
                                                                                                    "
BMW i5,M60 xDrive,2 099 000 Kč,2023,36000km,"
                                                                                                                    "
BMW i5,eDrive40 Sedan,1 640 000 Kč,2/2024,1km,"
                                                                                                    "
BMW i5,M60 xDrive Sedan,1 610 000 Kč,8/2023,25000km,"
                                                                                                    "
BMW i5,eDrive40 Sedan,1 777 000 Kč,2024,25000km,"
                                                                                                                    "
BMW i5,eDrive40 Touring,1 599 000 Kč,5/2024,15000km,"
                                                                                                    "
BMW i5,XDRIVE40,1 833 934 Kč,4/2024,27058km,"
                                                                                                    "
BMW i5,xDrive40 Touring,2 023 873 Kč,2024,neuvedeno,"
                                                                                                                    "
BMW i5,"xDrive40 Touring, Ihned",1 799 500 Kč,2024,neuvedeno,"
                                                                                                                    "
BMW i5,eDrive40 Sedan,1 639 000 Kč,2024,5km,"
                                                                                                                    "
BMW i5,xDrive40 Sedan,1 700 000 Kč,6/2024,1km,"
                "
BMW i5,M60 xDrive,2 099 000 Kč,2023,36000km,"
                "
BMW i5,M60 xDrive Sedan,1 610 000 Kč,8/2023,25000km,"
                "
BMW i5,eDrive40 Sedan,1 640 000 Kč,2/2024,1km,"
                "
BMW i5,eDrive40 Sedan,1 777 000 Kč,2024,25000km,"
                "
BMW i5,XDRIVE40,1 833 934 Kč,4/2024,27058km,"
                "
BMW i5,eDrive40 Touring,1 599 000 Kč,5/2024,15000km,"
                "
BMW i5,"xDrive40 Touring, Ihned",1 799 500 Kč,2024,neuvedeno,"
                "
BMW i5,eDrive40 Sedan,1 639 000 Kč,2024,5km,"
                "
BMW i5,xDrive40 Touring,2 023 873 Kč,2024,neuvedeno,"
                "
BMW i5,xDrive40 Sedan,1 700 000 Kč,6/2024,1km,"['\n                ', '\n                ', '\n                 neuvedeno             ']"
BMW i5,M60 xDrive,2 099 000 Kč,2023,36000km,"['\n                ', '\n                ', '\n                 neuvedeno             ']"
BMW i5,eDrive40 Sedan,1 640 000 Kč,2/2024,1km,"['\n                ', '\n                ', '\n                 neuvedeno             ']"
BMW i5,M60 xDrive Sedan,1 610 000 Kč,8/2023,25000km,"['\n                ', '\n                ', '\n                 11/2027            ']"
BMW i5,eDrive40 Sedan,1 777 000 Kč,2024,25000km,"['\n                ', '\n                ', '\n                 2/2028            ']"
BMW i5,eDrive40 Touring,1 599 000 Kč,5/2024,15000km,"['\n                ', '\n                ', '\n                 5/2028            ']"
BMW i5,XDRIVE40,1 833 934 Kč,4/2024,27058km,"['\n                ', '\n                ', '\n                 neuvedeno             ']"
BMW i5,xDrive40 Touring,2 023 873 Kč,2024,neuvedeno,"['\n                ', '\n                ', '\n                 neuvedeno             ']"
BMW i5,"xDrive40 Touring, Ihned",1 799 500 Kč,2024,neuvedeno,"['\n                ', '\n                ', '\n                 12/2027            ']"
BMW i5,eDrive40 Sedan,1 639 000 Kč,2024,5km,"['\n                ', '\n                ', '\n                 neuvedeno             ']"
BMW i5,xDrive40 Sedan,1 700 000 Kč,6/2024,1km,
BMW i5,M60 xDrive,2 099 000 Kč,2023,36000km,
BMW i5,eDrive40 Sedan,1 640 000 Kč,2/2024,1km,
BMW i5,M60 xDrive Sedan,1 610 000 Kč,8/2023,25000km,
BMW i5,eDrive40 Sedan,1 777 000 Kč,2024,25000km,
