Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce,Nazev prodejce
BMW Řada 6,640i xDrive MPAKET/ TOP VÝBAVA,678 000 Kč,10/2017,179000km,neuvedeno,Velmi dobrý,250 kW / 340 PS,2 998 cm³,benzin,aut. převodovka,liftback,5 dveří,5 míst,černá metalíza,Novohradská 1479/70 Č.Budějovice 37008,NIKERLE auto s.r.o.
BMW Řada 6,640D XDRIVE GC F06 230kW,649 999 Kč,7/2013,123420km,5/2026,Perfektní,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,sedan,4 dveře,5 míst,bílá metalíza,Lovosická 778/2 PRAHA 9 - PROSEK 19000,Autosalon Šedivý & Šmejkal s.r.o.
BMW Řada 6,650i x-Drive M PACKET F13,669 000 Kč,2012,106500km,12/2023,Perfektní,330 kW / 449 PS,4 395 cm³,benzin,aut. převodovka,kupé,3 dveře,4 místa,bílá,Doubravická 363 Pardubice 53353,Auto Vašíček
BMW Řada 6,"630 GT xDrive , M Sport Paket",645 000 Kč,2018,167000km,7/2026,Velmi dobrý,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,liftback,5 dveří,5 míst,černá metalíza,Hodkovická 52 Liberec 6 46006,CZ Auto Liberec s.r.o.
BMW Řada 6,640D 105tKM!! TOP STAV!!,599 000 Kč,2014,115000km,7/2025,Perfektní,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,kupé,3 dveře,4 místa,tmavě modrá metalíza,U Jezu 274 Stará Ves nad Ondřejnicí 73923,"TOP-AUTO OSTRAVA, s.r.o."
BMW Řada 6,"3,0 640d,230kW,xDrive,NovéČR,B",550 000 Kč,9/2012,270000km,7/2026,Velmi dobrý,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,kupé,5 dveří,4 místa,bílá,Pražská 338 SLANÝ 27401,Auto VELVEX s.r.o.
BMW Řada 6,"640dxDrive,GranCoupe,REZERVACE",549 000 Kč,2016,238393km,neuvedeno,Perfektní,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,kupé,4 dveře,5 míst,bílá,Tovární 11 Brno - Chrlice 64300,Patrik Béreš
BMW Řada 6,"3,0 640d 230KW xDrive M Sport",665 000 Kč,3/2013,169964km,7/2026,neuvedeno,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,kupé,2 dveře,4 místa,černá,Kutnohorská Praha 10 10900,Autobazar AUTO-MEGA PRAHA s.r.o.
BMW Řada 6,640d xDrive M PAKET 95000KM ČR,689 999 Kč,1/2014,95590km,2/2026,Velmi dobrý,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,sedan,4 dveře,5 míst,černá metalíza,Kunraticka Spojka 1169/1 Praha 4 14800,MAMA CAR a.s.
BMW Řada 6,"640d xDrive GranCoupe, 1.maj",638 000 Kč,2016,169300km,5/2026,Perfektní,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,kupé,4 dveře,4 místa,černá metalíza,Rokycanská 2656/2 Plzeň 31200,MPcars - prověřené vozy
BMW Řada 6,630d Xd- GT-LUXURY-TAŽNÉ-4x4-,699 999 Kč,2019,140000km,neuvedeno,Perfektní,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,liftback,5 dveří,5 míst,světle hnědá metalíza,Praha Praha 4 Spořilov (Jížní spojka) 14100,www.autadovozy.cz tel. 776 66 80 66
BMW Řada 6,640i Convertible,979 000 Kč,2014,24000km,neuvedeno,Velmi dobrý,235 kW / 320 PS,2 979 cm³,benzin,aut. převodovka,kabriolet,3 dveře,5 míst,šedá metalíza,Tovární 1b Olomouc 77900,CarTec Olomouc s.r.o.
BMW Řada 6,640d*xDrive*SOFT.CLOSE*HUD*360,739 990 Kč,2015,139000km,11/2025,Perfektní,230 kW / 313 PS,2 993 cm³,nafta,aut. převodovka,kupé,5 dveří,4 místa,modrá metalíza,"Rovná 1332 Sulice - Želivec, Praha 25168",GP Cars - Kvalitní vozy se zárukou
BMW Řada 6,640i xDrive Gran Turismo,830 000 Kč,2017,95500km,neuvedeno,Velmi dobrý,250 kW / 340 PS,2 998 cm³,benzin,aut. převodovka,liftback,4 dveře,5 míst,hnědá metalíza,Obchodní 622 Liberec 11 46001,"CarTec Liberec, s.r.o."
BMW Řada 6,630d xDrive Gran Turismo,799 000 Kč,2019,167000km,neuvedeno,Velmi dobrý,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,liftback,4 dveře,5 míst,bílá,Tovární 1b Olomouc 77900,CarTec Olomouc s.r.o.
